Row ID+O6G3A1:R6,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Profit,Returns,Payment Mode,ind1,ind2,Year,Month,Quarter,Weekday,Ship Days
5869,CA-2019-158211,04-01-2019,08-01-2019,Standard Class,BP-11185,Ben Peterman,Corporate,United States,Philadelphia,Pennsylvania,East,OFF-BI-10002026,Office Supplies,Binders,Avery Arch Ring Binders,104.58,6,-80.178,,Online,,,2019,January,1,Friday,4
863,CA-2019-134474,05-01-2019,07-01-2019,Second Class,AJ-10795,Anthony Johnson,Corporate,United States,Jacksonville,Florida,South,TEC-AC-10001714,Technology,Accessories,Logitech MX Performance Wireless Mouse,191.472,6,40.6878,,COD,,,2019,January,1,Saturday,2
864,CA-2019-134474,05-01-2019,07-01-2019,Second Class,AJ-10795,Anthony Johnson,Corporate,United States,Jacksonville,Florida,South,OFF-AR-10003958,Office Supplies,Art,Newell 337,5.248,2,0.5904,,Online,,,2019,January,1,Saturday,2
865,CA-2019-134474,05-01-2019,07-01-2019,Second Class,AJ-10795,Anthony Johnson,Corporate,United States,Jacksonville,Florida,South,TEC-PH-10002923,Technology,Phones,"Logitech B530 USB Headset - headset - Full size, Binaural",59.184,2,5.1786,,COD,,,2019,January,1,Saturday,2
2162,CA-2019-101938,07-01-2019,12-01-2019,Standard Class,DW-13480,Dianna Wilson,Home Office,United States,Oakland,California,West,OFF-AR-10003696,Office Supplies,Art,Panasonic KP-350BK Electric Pencil Sharpener with Auto Stop,34.58,1,10.0282,,COD,,,2019,January,1,Monday,5
8031,CA-2019-158806,07-01-2019,11-01-2019,Standard Class,NM-18520,Neoma Murray,Consumer,United States,Amarillo,Texas,Central,FUR-FU-10004270,Furniture,Furnishings,"Executive Impressions 13"" Clairmont Wall Clock",23.076,3,-10.9611,,COD,,,2019,January,1,Monday,4
8032,CA-2019-158806,07-01-2019,11-01-2019,Standard Class,NM-18520,Neoma Murray,Consumer,United States,Amarillo,Texas,Central,OFF-PA-10004621,Office Supplies,Paper,Xerox 212,25.92,5,9.072,,Cards,,,2019,January,1,Monday,4
6851,US-2019-100461,08-01-2019,12-01-2019,Standard Class,JO-15145,Jack O'Briant,Corporate,United States,Franklin,Wisconsin,Central,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",1565.88,6,407.1288,,Online,,,2019,January,1,Tuesday,4
6852,US-2019-100461,08-01-2019,12-01-2019,Standard Class,JO-15145,Jack O'Briant,Corporate,United States,Franklin,Wisconsin,Central,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,106.05,7,49.8435,,Cards,,,2019,January,1,Tuesday,4
7808,US-2019-137295,08-01-2019,13-01-2019,Standard Class,VS-21820,Vivek Sundaresam,Consumer,United States,Raleigh,North Carolina,South,OFF-BI-10004236,Office Supplies,Binders,"XtraLife ClearVue Slant-D Ring Binder, White, 3""",30.828,7,-24.6624,,Cards,,,2019,January,1,Tuesday,5
7809,US-2019-137295,08-01-2019,13-01-2019,Standard Class,VS-21820,Vivek Sundaresam,Consumer,United States,Raleigh,North Carolina,South,OFF-AR-10001955,Office Supplies,Art,Newell 319,47.616,3,5.952,,COD,,,2019,January,1,Tuesday,5
7810,US-2019-137295,08-01-2019,13-01-2019,Standard Class,VS-21820,Vivek Sundaresam,Consumer,United States,Raleigh,North Carolina,South,TEC-PH-10004080,Technology,Phones,Avaya 5410 Digital phone,108.784,2,10.8784,,COD,,,2019,January,1,Tuesday,5
3209,CA-2019-108882,09-01-2019,15-01-2019,Standard Class,LA-16780,Laura Armstrong,Corporate,United States,Fresno,California,West,TEC-AC-10000420,Technology,Accessories,Logitech G500s Laser Gaming Mouse with Adjustable Weight Tuning,349.95,5,118.983,,COD,,,2019,January,1,Wednesday,6
3210,CA-2019-108882,09-01-2019,15-01-2019,Standard Class,LA-16780,Laura Armstrong,Corporate,United States,Fresno,California,West,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,377.928,9,141.723,,Cards,,,2019,January,1,Wednesday,6
3702,CA-2019-126543,09-01-2019,13-01-2019,Second Class,MF-17665,Maureen Fritzler,Corporate,United States,Toledo,Ohio,East,FUR-FU-10002445,Furniture,Furnishings,"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",15.168,2,3.792,,Cards,,,2019,January,1,Wednesday,4
4667,CA-2019-116547,10-01-2019,17-01-2019,Standard Class,KB-16585,Ken Black,Corporate,United States,Seattle,Washington,West,FUR-FU-10000076,Furniture,Furnishings,24-Hour Round Wall Clock,79.92,4,34.3656,,Cards,,,2019,January,1,Thursday,7
4668,CA-2019-116547,10-01-2019,17-01-2019,Standard Class,KB-16585,Ken Black,Corporate,United States,Seattle,Washington,West,TEC-AC-10002335,Technology,Accessories,Logitech Media Keyboard K200,69.98,2,13.2962,,COD,,,2019,January,1,Thursday,7
6970,CA-2019-163937,10-01-2019,13-01-2019,Second Class,JB-16000,Joy Bell-,Consumer,United States,Longview,Washington,West,FUR-FU-10000010,Furniture,Furnishings,"DAX Value U-Channel Document Frames, Easel Back",24.85,5,7.7035,,Cards,,,2019,January,1,Thursday,3
1026,CA-2019-126529,11-01-2019,13-01-2019,Second Class,DE-13255,Deanra Eno,Home Office,United States,Springfield,Ohio,East,OFF-PA-10001166,Office Supplies,Paper,Xerox 2,15.552,3,5.4432,,Online,,,2019,January,1,Friday,2
1027,CA-2019-126529,11-01-2019,13-01-2019,Second Class,DE-13255,Deanra Eno,Home Office,United States,Springfield,Ohio,East,OFF-PA-10003656,Office Supplies,Paper,Xerox 1935,63.312,3,20.5764,,Cards,,,2019,January,1,Friday,2
1028,CA-2019-126529,11-01-2019,13-01-2019,Second Class,DE-13255,Deanra Eno,Home Office,United States,Springfield,Ohio,East,TEC-PH-10000148,Technology,Phones,Cyber Acoustics AC-202b Speech Recognition Stereo Headset,15.588,2,-9.8724,,Online,,,2019,January,1,Friday,2
8522,CA-2019-141887,11-01-2019,15-01-2019,Standard Class,MP-17470,Mark Packer,Home Office,United States,Columbus,Ohio,East,FUR-FU-10002268,Furniture,Furnishings,Ultra Door Push Plate,54.992,14,8.9362,,Online,,,2019,January,1,Friday,4
7269,CA-2019-133368,14-01-2019,20-01-2019,Standard Class,AG-10675,Anna Gayman,Consumer,United States,Concord,North Carolina,South,OFF-PA-10004039,Office Supplies,Paper,Xerox 1882,89.568,2,32.4684,,Cards,,,2019,January,1,Monday,6
7270,CA-2019-133368,14-01-2019,20-01-2019,Standard Class,AG-10675,Anna Gayman,Consumer,United States,Concord,North Carolina,South,FUR-FU-10003374,Furniture,Furnishings,Electrix Fluorescent Magnifier Lamps & Weighted Base,315.776,8,31.5776,,Online,,,2019,January,1,Monday,6
2878,CA-2019-152072,15-01-2019,19-01-2019,Standard Class,Dp-13240,Dean percer,Home Office,United States,Westfield,New Jersey,East,OFF-EN-10003040,Office Supplies,Envelopes,Quality Park Security Envelopes,52.34,2,24.5998,,Cards,,,2019,January,1,Tuesday,4
2879,CA-2019-152072,15-01-2019,19-01-2019,Standard Class,Dp-13240,Dean percer,Home Office,United States,Westfield,New Jersey,East,OFF-AR-10001573,Office Supplies,Art,American Pencil,4.66,2,1.3514,,COD,,,2019,January,1,Tuesday,4
2880,CA-2019-152072,15-01-2019,19-01-2019,Standard Class,Dp-13240,Dean percer,Home Office,United States,Westfield,New Jersey,East,TEC-AC-10000844,Technology,Accessories,Logitech Gaming G510s - Keyboard,254.97,3,91.7892,,Cards,,,2019,January,1,Tuesday,4
3236,CA-2019-140746,15-01-2019,15-01-2019,Same Day,RC-19825,Roy Collins,Consumer,United States,Fairfield,Connecticut,East,FUR-TA-10002903,Furniture,Tables,"Bevis Round Bullnose 29"" High Table Top",181.797,1,-15.5826,,COD,,,2019,January,1,Tuesday,0
3742,CA-2019-137848,15-01-2019,21-01-2019,Standard Class,WB-21850,William Brown,Consumer,United States,New York City,New York,East,OFF-EN-10001137,Office Supplies,Envelopes,"#10 Gummed Flap White Envelopes, 100/Box",16.52,4,7.5992,,Online,,,2019,January,1,Tuesday,6
3743,CA-2019-137848,15-01-2019,21-01-2019,Standard Class,WB-21850,William Brown,Consumer,United States,New York City,New York,East,OFF-PA-10004285,Office Supplies,Paper,Xerox 1959,60.12,9,28.8576,,COD,,,2019,January,1,Tuesday,6
3744,CA-2019-137848,15-01-2019,21-01-2019,Standard Class,WB-21850,William Brown,Consumer,United States,New York City,New York,East,OFF-BI-10002225,Office Supplies,Binders,"Square Ring Data Binders, Rigid 75 Pt. Covers, 11"" x 14-7/8""",49.536,3,17.3376,,Cards,,,2019,January,1,Tuesday,6
5968,CA-2019-166912,15-01-2019,17-01-2019,First Class,BE-11335,Bill Eplett,Home Office,United States,New York City,New York,East,OFF-PA-10001033,Office Supplies,Paper,Xerox 1893,81.98,2,40.1702,,Online,,,2019,January,1,Tuesday,2
26,CA-2019-121755,16-01-2019,20-01-2019,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,West,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,2,4.2224,,Cards,,,2019,January,1,Wednesday,4
27,CA-2019-121755,16-01-2019,20-01-2019,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,West,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3,11.7741,,COD,,,2019,January,1,Wednesday,4
876,CA-2019-116736,17-01-2019,21-01-2019,Standard Class,CC-12430,Chuck Clark,Home Office,United States,Concord,New Hampshire,East,FUR-FU-10004017,Furniture,Furnishings,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",322.59,3,64.518,,COD,,,2019,January,1,Thursday,4
877,CA-2019-116736,17-01-2019,21-01-2019,Standard Class,CC-12430,Chuck Clark,Home Office,United States,Concord,New Hampshire,East,TEC-AC-10003628,Technology,Accessories,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,29.99,1,13.1956,,Online,,,2019,January,1,Thursday,4
878,CA-2019-116736,17-01-2019,21-01-2019,Standard Class,CC-12430,Chuck Clark,Home Office,United States,Concord,New Hampshire,East,TEC-AC-10002049,Technology,Accessories,Logitech G19 Programmable Gaming Keyboard,371.97,3,66.9546,,Online,,,2019,January,1,Thursday,4
2303,CA-2019-106558,17-01-2019,21-01-2019,Standard Class,DL-13495,Dionis Lloyd,Corporate,United States,Columbus,Georgia,South,TEC-AC-10001142,Technology,Accessories,First Data FD10 PIN Pad,316,4,31.6,,Online,,,2019,January,1,Thursday,4
2876,US-2019-167339,21-01-2019,23-01-2019,Second Class,TD-20995,Tamara Dahlen,Consumer,United States,San Diego,California,West,FUR-CH-10004289,Furniture,Chairs,Global Super Steno Chair,153.568,2,-5.7588,,COD,,,2019,January,1,Monday,2
2877,US-2019-167339,21-01-2019,23-01-2019,Second Class,TD-20995,Tamara Dahlen,Consumer,United States,San Diego,California,West,FUR-CH-10000785,Furniture,Chairs,Global Ergonomic Managers Chair,1013.488,7,76.0116,,COD,,,2019,January,1,Monday,2
268,CA-2019-111010,22-01-2019,28-01-2019,Standard Class,PG-18895,Paul Gonzalez,Consumer,United States,Morristown,New Jersey,East,OFF-FA-10003472,Office Supplies,Fasteners,Bagged Rubber Bands,7.56,6,0.3024,,COD,,,2019,January,1,Tuesday,6
2471,US-2019-135923,22-01-2019,28-01-2019,Standard Class,CM-11935,Carlos Meador,Consumer,United States,Fayetteville,North Carolina,South,FUR-FU-10002107,Furniture,Furnishings,Eldon Pizzaz Desk Accessories,14.272,8,4.2816,,COD,,,2019,January,1,Tuesday,6
2472,US-2019-135923,22-01-2019,28-01-2019,Standard Class,CM-11935,Carlos Meador,Consumer,United States,Fayetteville,North Carolina,South,FUR-BO-10002213,Furniture,Bookcases,"Sauder Forest Hills Library, Woodland Oak Finish",451.136,4,-67.6704,,COD,,,2019,January,1,Tuesday,6
2473,US-2019-135923,22-01-2019,28-01-2019,Standard Class,CM-11935,Carlos Meador,Consumer,United States,Fayetteville,North Carolina,South,OFF-AP-10000692,Office Supplies,Appliances,Fellowes Mighty 8 Compact Surge Protector,64.864,4,6.4864,,COD,,,2019,January,1,Tuesday,6
2694,CA-2019-138079,22-01-2019,28-01-2019,Standard Class,AJ-10795,Anthony Johnson,Corporate,United States,Seattle,Washington,West,FUR-FU-10001475,Furniture,Furnishings,"Contract Clock, 14"", Brown",109.9,5,37.366,,Online,,,2019,January,1,Tuesday,6
5675,CA-2019-146318,22-01-2019,27-01-2019,Standard Class,MC-17275,Marc Crier,Consumer,United States,Seattle,Washington,West,OFF-PA-10003953,Office Supplies,Paper,Xerox 218,12.96,2,6.2208,,Online,,,2019,January,1,Tuesday,5
5752,CA-2019-125850,22-01-2019,28-01-2019,Standard Class,FP-14320,Frank Preis,Consumer,United States,San Diego,California,West,OFF-LA-10003498,Office Supplies,Labels,Avery 475,44.4,3,22.2,,Online,,,2019,January,1,Tuesday,6
5753,CA-2019-125850,22-01-2019,28-01-2019,Standard Class,FP-14320,Frank Preis,Consumer,United States,San Diego,California,West,OFF-LA-10004484,Office Supplies,Labels,Avery 476,20.65,5,9.499,,Online,,,2019,January,1,Tuesday,6
6229,CA-2019-148208,22-01-2019,27-01-2019,Standard Class,BT-11530,Bradley Talbott,Home Office,United States,Cleveland,Ohio,East,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,110.376,4,-20.2356,,Online,,,2019,January,1,Tuesday,5
6230,CA-2019-148208,22-01-2019,27-01-2019,Standard Class,BT-11530,Bradley Talbott,Home Office,United States,Cleveland,Ohio,East,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",55.176,3,15.8631,,Cards,,,2019,January,1,Tuesday,5
6238,US-2019-155180,22-01-2019,29-01-2019,Standard Class,TB-21280,Toby Braunhardt,Consumer,United States,New York City,New York,East,OFF-BI-10004506,Office Supplies,Binders,Wilson Jones data.warehouse D-Ring Binders with DublLock,26.336,4,9.2176,,Online,,,2019,January,1,Tuesday,7
7294,CA-2019-113656,23-01-2019,29-01-2019,Standard Class,CB-12415,Christy Brittain,Consumer,United States,Los Angeles,California,West,FUR-FU-10000719,Furniture,Furnishings,"DAX Cubicle Frames, 8-1/2 x 11",59.99,7,21.5964,,Online,,,2019,January,1,Wednesday,6
9147,US-2019-165505,23-01-2019,27-01-2019,Standard Class,CB-12535,Claudia Bergmann,Corporate,United States,Burlington,Vermont,East,TEC-AC-10002926,Technology,Accessories,Logitech Wireless Marathon Mouse M705,99.98,2,42.9914,,COD,,,2019,January,1,Wednesday,4
9148,US-2019-165505,23-01-2019,27-01-2019,Standard Class,CB-12535,Claudia Bergmann,Corporate,United States,Burlington,Vermont,East,OFF-AR-10003477,Office Supplies,Art,4009 Highlighters,8.04,6,2.7336,,COD,,,2019,January,1,Wednesday,4
9149,US-2019-165505,23-01-2019,27-01-2019,Standard Class,CB-12535,Claudia Bergmann,Corporate,United States,Burlington,Vermont,East,OFF-ST-10001526,Office Supplies,Storage,Iceberg Mobile Mega Data/Printer Cart,1564.29,13,406.7154,,Online,,,2019,January,1,Wednesday,4
4612,CA-2019-109407,24-01-2019,26-01-2019,Second Class,HG-14965,Henry Goldwyn,Corporate,United States,Gulfport,Mississippi,South,OFF-BI-10000285,Office Supplies,Binders,XtraLife ClearVue Slant-D Ring Binders by Cardinal,31.36,4,15.68,,COD,,,2019,January,1,Thursday,2
4327,CA-2019-153346,25-01-2019,27-01-2019,First Class,TB-21355,Todd Boyes,Corporate,United States,Plainfield,New Jersey,East,OFF-AR-10000315,Office Supplies,Art,"Dixon Ticonderoga Maple Cedar Pencil, #2",9.21,3,2.3025,,COD,,,2019,January,1,Friday,2
4328,CA-2019-153346,25-01-2019,27-01-2019,First Class,TB-21355,Todd Boyes,Corporate,United States,Plainfield,New Jersey,East,OFF-PA-10000007,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 4 1/4"" x 6""",18,5,8.28,,Cards,,,2019,January,1,Friday,2
9358,CA-2019-168046,25-01-2019,28-01-2019,Second Class,JD-15895,Jonathan Doherty,Corporate,United States,New York City,New York,East,OFF-BI-10003676,Office Supplies,Binders,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",43.12,5,15.092,,Online,,,2019,January,1,Friday,3
9359,CA-2019-168046,25-01-2019,28-01-2019,Second Class,JD-15895,Jonathan Doherty,Corporate,United States,New York City,New York,East,FUR-TA-10001095,Furniture,Tables,Chromcraft Round Conference Tables,313.722,3,-99.3453,,COD,,,2019,January,1,Friday,3
9360,CA-2019-168046,25-01-2019,28-01-2019,Second Class,JD-15895,Jonathan Doherty,Corporate,United States,New York City,New York,East,FUR-FU-10000747,Furniture,Furnishings,Tenex B1-RE Series Chair Mats for Low Pile Carpets,45.98,1,7.8166,,Online,,,2019,January,1,Friday,3
9361,CA-2019-168046,25-01-2019,28-01-2019,Second Class,JD-15895,Jonathan Doherty,Corporate,United States,New York City,New York,East,OFF-ST-10004337,Office Supplies,Storage,"SAFCO Commercial Wire Shelving, 72h",428.68,7,0,,Online,,,2019,January,1,Friday,3
8613,CA-2019-146437,28-01-2019,01-02-2019,Second Class,HG-14965,Henry Goldwyn,Corporate,United States,Los Angeles,California,West,OFF-AR-10000588,Office Supplies,Art,Newell 345,39.68,2,10.3168,,COD,,,2019,January,1,Monday,4
2885,CA-2019-164483,30-01-2019,03-02-2019,Standard Class,JF-15490,Jeremy Farry,Consumer,United States,San Francisco,California,West,OFF-BI-10000014,Office Supplies,Binders,Heavy-Duty E-Z-D Binders,17.456,2,5.8914,,COD,,,2019,January,1,Wednesday,4
7290,CA-2019-153661,30-01-2019,31-01-2019,First Class,SC-20725,Steven Cartwright,Consumer,United States,San Francisco,California,West,OFF-ST-10000675,Office Supplies,Storage,"File Shuttle II and Handi-File, Black",305.01,9,76.2525,,Online,,,2019,January,1,Wednesday,1
7291,CA-2019-153661,30-01-2019,31-01-2019,First Class,SC-20725,Steven Cartwright,Consumer,United States,San Francisco,California,West,OFF-BI-10004781,Office Supplies,Binders,GBC Wire Binding Strips,50.784,2,17.7744,,Online,,,2019,January,1,Wednesday,1
7292,CA-2019-153661,30-01-2019,31-01-2019,First Class,SC-20725,Steven Cartwright,Consumer,United States,San Francisco,California,West,OFF-LA-10004689,Office Supplies,Labels,Avery 512,26.01,9,12.2247,,Online,,,2019,January,1,Wednesday,1
7565,US-2019-166660,30-01-2019,01-02-2019,Second Class,TB-21250,Tim Brockman,Consumer,United States,Seattle,Washington,West,FUR-CH-10001190,Furniture,Chairs,Global Deluxe High-Back Office Chair in Storm,435.168,4,-59.8356,,COD,,,2019,January,1,Wednesday,2
7566,US-2019-166660,30-01-2019,01-02-2019,Second Class,TB-21250,Tim Brockman,Consumer,United States,Seattle,Washington,West,FUR-BO-10000468,Furniture,Bookcases,O'Sullivan 2-Shelf Heavy-Duty Bookcases,48.58,1,7.7728,,Online,,,2019,January,1,Wednesday,2
8176,CA-2019-114944,30-01-2019,04-02-2019,Standard Class,HE-14800,Harold Engle,Corporate,United States,Chicago,Illinois,Central,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,156.512,4,52.8228,,COD,,,2019,January,1,Wednesday,5
8925,CA-2019-168032,30-01-2019,03-02-2019,Standard Class,DF-13135,David Flashing,Consumer,United States,Rockford,Illinois,Central,TEC-PH-10004241,Technology,Phones,Nokia Lumia 1020,1439.968,4,143.9968,,Online,,,2019,January,1,Wednesday,4
8926,CA-2019-168032,30-01-2019,03-02-2019,Standard Class,DF-13135,David Flashing,Consumer,United States,Rockford,Illinois,Central,OFF-BI-10000546,Office Supplies,Binders,Avery Durable Binders,1.728,3,-2.6784,,Cards,,,2019,January,1,Wednesday,4
8927,CA-2019-168032,30-01-2019,03-02-2019,Standard Class,DF-13135,David Flashing,Consumer,United States,Rockford,Illinois,Central,FUR-TA-10004256,Furniture,Tables,Bretford “Just In Time” Height-Adjustable Multi-Task Work Tables,626.1,3,-538.446,,Online,,,2019,January,1,Wednesday,4
4999,CA-2019-129238,31-01-2019,04-02-2019,Standard Class,SC-20050,Sample Company A,Home Office,United States,Los Angeles,California,West,TEC-PH-10004120,Technology,Phones,AT&T 1080 Phone,109.592,1,8.2194,,Cards,,,2019,January,1,Thursday,4
5000,CA-2019-129238,31-01-2019,04-02-2019,Standard Class,SC-20050,Sample Company A,Home Office,United States,Los Angeles,California,West,OFF-PA-10002764,Office Supplies,Paper,Easy-staple paper,56.7,5,27.783,,COD,,,2019,January,1,Thursday,4
5114,CA-2019-147970,31-01-2019,02-02-2019,Second Class,AB-10150,Aimee Bixby,Consumer,United States,Dallas,Texas,Central,OFF-PA-10003936,Office Supplies,Paper,Xerox 1994,15.552,3,5.4432,,Cards,,,2019,January,1,Thursday,2
7505,CA-2019-158043,31-01-2019,04-02-2019,Second Class,JK-15325,Jason Klamczynski,Corporate,United States,Atlantic City,New Jersey,East,OFF-EN-10003134,Office Supplies,Envelopes,Staple envelope,23.36,2,11.68,,Cards,,,2019,January,1,Thursday,4
8761,CA-2019-159891,31-01-2019,06-02-2019,Standard Class,BF-11170,Ben Ferrer,Home Office,United States,Atlanta,Georgia,South,OFF-BI-10003527,Office Supplies,Binders,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,1270.99,1,635.495,,Online,,,2019,January,1,Thursday,6
8762,CA-2019-159891,31-01-2019,06-02-2019,Standard Class,BF-11170,Ben Ferrer,Home Office,United States,Atlanta,Georgia,South,OFF-EN-10004483,Office Supplies,Envelopes,"#10 White Business Envelopes,4 1/8 x 9 1/2",125.36,8,58.9192,,Cards,,,2019,January,1,Thursday,6
3242,US-2019-140809,01-02-2019,03-02-2019,First Class,CK-12760,Cyma Kinney,Corporate,United States,Arlington,Virginia,South,OFF-ST-10002214,Office Supplies,Storage,X-Rack File for Hanging Folders,56.45,5,14.677,,COD,,,2019,February,1,Friday,2
8404,CA-2019-154067,01-02-2019,07-02-2019,Standard Class,SM-20950,Suzanne McNair,Corporate,United States,Los Angeles,California,West,OFF-PA-10002254,Office Supplies,Paper,Xerox 1883,1105.52,4,48.5392,,Online,,,2019,February,1,Friday,6
5614,CA-2019-147431,02-02-2019,07-02-2019,Standard Class,AB-10105,Adrian Barton,Consumer,United States,New York City,New York,East,OFF-ST-10003994,Office Supplies,Storage,"Belkin 19"" Center-Weighted Shelf, Gray",117.96,2,5.898,,COD,,,2019,February,1,Saturday,5
8489,CA-2019-158841,02-02-2019,04-02-2019,Second Class,SE-20110,Sanjit Engle,Consumer,United States,Arlington,Virginia,South,TEC-MA-10001127,Technology,Machines,"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",4749.95,5,2799.984,,COD,,,2019,February,1,Saturday,2
8490,CA-2019-158841,02-02-2019,04-02-2019,Second Class,SE-20110,Sanjit Engle,Consumer,United States,Arlington,Virginia,South,OFF-BI-10002557,Office Supplies,Binders,Presstex Flexible Ring Binders,36.4,8,18.2,,COD,,,2019,February,1,Saturday,2
8491,CA-2019-158841,02-02-2019,04-02-2019,Second Class,SE-20110,Sanjit Engle,Consumer,United States,Arlington,Virginia,South,FUR-FU-10001731,Furniture,Furnishings,Acrylic Self-Standing Desk Frames,18.69,7,7.1022,,Online,,,2019,February,1,Saturday,2
8513,CA-2019-144645,02-02-2019,08-02-2019,Standard Class,NS-18640,Noel Staavos,Corporate,United States,Houston,Texas,Central,FUR-FU-10003601,Furniture,Furnishings,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",73.784,2,-77.4732,,COD,,,2019,February,1,Saturday,6
5754,CA-2019-118514,03-02-2019,10-02-2019,Standard Class,LC-17050,Liz Carlisle,Consumer,United States,Richmond,Kentucky,South,FUR-CH-10000015,Furniture,Chairs,Hon Multipurpose Stacking Arm Chairs,866.4,4,225.264,,COD,,,2019,February,1,Sunday,7
6043,CA-2019-117912,04-02-2019,08-02-2019,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Sierra Vista,Arizona,West,FUR-FU-10002088,Furniture,Furnishings,Nu-Dell Float Frame 11 x 14 1/2,14.368,2,3.9512,,COD,,,2019,February,1,Monday,4
